game,review_text,review_date,review_title,author,a
Waking Mars, Oryginalna platform??wka traktuj??ca o odkrywaniu ??ycia na Marsie. W grze mo??na znale???? kilka r????nych rodzaj??w nasion z kt??rych po zasianiu wyrastaj?? dziwne ro??liny. W r????ny spos??b reaguj?? one na ??rodowisko. Niekt??re z nich s?? dla nas gro??ne inne pomagaj?? nam w przej??ciu do kolejnych etap??w. Odkrycie zale??no??ci i zrozumienie ???jak dzia??aj????? te organizmy ma wp??yw na nasze post??py w grze. O ile sam pomys?? na gr?? jest ciekawy to jednak rozgrywka po paru godzinach staje si?? powtarzalna i nudnawa. Pomimo odkrywania nowych ro??lin mechanika sprowadza si?? wci???? do sadzenia nasion czekania a?? zakwitn?? i zbierania plonu w postaci nowych nasion. Przyda??oby si?? wi??cej r????norodno??ci. R??wnie?? grafika praktycznie przez ca???? gr?? jest do???? monotonna. Ale bior??c pod uwag?? ??e gr?? wyda??o ma??e studio produkt mo??na uzna?? za do???? udany. , August 13 2018, Oryginalna platform??wka traktuj??ca o odkrywaniu ??ycia na Marsie,durham2669,a
Dragonsphere, Beautifully mastered POC adventure game for its time it had amazing interface layout and options that some games today lack. , November 5 2018, Beautifully mastered POC adventure game for its time it had amazing interface layout and options that some games today lack,mccormick9707,a
X-Com: Interceptor, Excellent and under appreciated game though I will admit that the fighting simulation engine is far from amazing. , March 29 2018, Excellent and under appreciated game though I will admit that the fighting simulation engine is far from amazing,vasquez,a
The Fall Part 2: Unbound, ???????????? ?????????? ???????? ?????????????? ?????????? ????????????. ???????????????? ???????? ?????? ?????????????? ?????????????????????? ?? ?????? ???? ?????????? ??????????? ???????????????????? ???????????????????? ?????????????? ???????????????????? ?????? ?????????????? ?????????? ???????? ???????????? ???????? ???? ???????????? ???????? ???? ?????????? ???????????? ?????????? ???? ???????????????????? ???? ?????? , July 2 2018, ???????????? ?????????? ???????? ?????????????? ?????????? ????????????,fleming8924,a
Depths Of Peril, As with all Soldak games this one is well worth the price. Fun to play good game mechanics a bunch of stuff to do and really extensive set of parameters to affect the world and gameplay. Really high replay value. I bought this game for the 3rd time now in GOG. Soldak well deserves the suppor.t , March 13 2018, As with all Soldak games this one is well worth the price,bates4627,a
Jazzpunk: Flavour Nexus," Flavour Nexus is little disappointment for me. Jazzpunk always was criticized for as short as good. Unfortunately Flavour Nexus doesn t cure it. This is just one levelmap in this addon all about shopping in big store. You re task is simple - go buy smelling salt. As usual in Jazzpunk you can just go and do that and miss like 95% of whole gameplay. If you want to spend a little more time shopping you can browse shelfs do some random stuff and so on. Not really much to do anyway. Once you done you presented with nice Carmageddon-style Monster-truck Fight with Psycho (remember this one from Japanese level wrestling arena?) in which you can crush literally everything and...thats all. Almost. All that left to you is strange futuristic ""MadMax-like"" chase with no reason (more like scraped idea leftovers) and credit roll. Its not really that bad there is some interesting jokes its worth to look monster-truck fight is brilliant idea but overall its dont even close to original game not in amount of stuff not in humor. But still i d like to see more. ", November 24 2017, Flavour Nexus is little disappointment for me,farrell2137,a
A Golden Wake, As I liked other Wadjet Eye Games a lot I bought this one without reading reviews etc. For me this game sadly lacks on the puzzles level (too easy / simple - even if I didn t know what to do there where only two or three things to do or click anyway) and on the story level (fragmented story / episodes; the game gave me no real motivation why I should do something and what s the bigger plan or purpose for what I m doing). So I can t recommend this one to adventure fans. , January 20 2018, As I liked other Wadjet Eye Games a lot I bought this one without reading reviews etc,robbins857,a
Bubsy: The Woolies Strike Back, Bubsy is back at the request of nobody; developed by the same team as Gianna Sisters: Twisted Dreams Bubsy is at least competent in that it runs fine and doesn t control too awfully. That s about all the positives you can give it though; the game is incredibly short still far too expensive for what it is incredibly easy and every level is pretty much the same. You get some new enemies and obstacles but there are no extra powers and each level is still just running from left to right across bog-standard platforms. The worst crime though is that it s as dull a game as you can get. , September 28 2018, Bubsy is back at the request of nobody; developed by the same team as Gianna Sisters: Twisted Dreams Bubsy is at least competent in that it runs fine and doesn t control too awfully,hendrix8282,a
Carmageddon: Max Damage, It s great! They ve improved the handling for the cars. It s challenging fun and fast-paced. You can even run over Trump and Hillary so what s not to like? Well... The only real problem I have with it is that they said they d work on a Linux version. This never happened. A lot of us backed the Kickstarter because of this. You know with all the advancements in Linux gaming as of late (I m playing Mad Max Killing Floor 2 and even No Man s Sky on Linux) I d be perfectly satisfied if they d release a patch for this game that makes it compatible with Wine or Proton. , November 3 2018, It s great! They ve improved the handling for the cars,duffy5102,a
Sheltered, I ve spent 60+ hours on this game on steam (no noticeable difference when compared to the GoG copy) I ve played this after a this war of mine binge. I heartily recommend that game over this one. there isn t much depth to the gameplay and every playthough will be the same. There can be fun in the repetition and tweaking efficiency but only if you gain fun from that sort of thing; otherwise you will likely be disappointed. , May 16 2018, I ve spent 60+ hours on this game on steam (no noticeable difference when compared to the GoG copy) I ve played this after a this war of mine binge,cummings,a
Anachronox, I have played a LOT of games since I discovered my first game in 1980 - a text only game called Adventure. I played Anachronox when it was first released and it is one of the few that sticks out in my memory - a great memory with some of the best humor and wonderful characters I ve ever seen in games. I am SO happy that GOG released this game to run on modern systems. My only complaint from before was the padding during scene transitions and battles but with the addition of the key to speed up the padding I now have NO complaints - this is one of the best games I ve had the pleasure to play and even the outdated graphics have a certain charm - this game still manages to convey character expressions and emotions - the important things. For those who have never played Anachronox I heartedly recommend it - you will NOT regret playing it. And for those who played it when it was first released I still heartedly recommend it for your enjoyment will not be any less - at least that is what I m experiencing as I relive my youth during my play. , May 10 2018, I have played a LOT of games since I discovered my first game in 1980 - a text only game called Adventure,ramsey1152,a
Phantom Doctrine, crash at app-exit (each time) feels like the release was rushed (yet another one). i should have waited a few months or years. long loading times as well graphics look great though and basically i like the game but i do not want to waste my time with unstable applications that s why i removed it i ll try later then - just in case someone will fix this. , November 6 2018, crash at app-exit (each time) feels like the release was rushed (yet another one),mcclure7616,a
Railroad Tycoon 3, While 3rd game introduced certain great mechanics like the way how non-railway transport is handled it has worse graphics than 2nd game cluttered UI a lot of concepts are sketchy and poorly explained and in general it repeats all the scenarios with slightly different set of rules making it a dull experience. Great for fan-made maps boring when played vanilla , May 14 2018, While 3rd game introduced certain great mechanics like the way how non-railway transport is handled it has worse graphics than 2nd game cluttered UI a lot of concepts are sketchy and poorly explained and in general it repeats all the scenarios with slightly different set of rules making it a dull experience,gordon1226,a
Necrovision, This game maybe looks interesting but gameplay is broken. Very low Fps even on 2015 PC. , November 5 2018, This game maybe looks interesting but gameplay is broken,mercado5797,a
Rain World, one of the tensest games I ve played where the tension and stress felt dynamic and unique to my experience rather than a construction by the devs. brilliant visuals adorable and fun dynamic animation and fun physics to play with. a truly brilliant experience to play. , September 1 2018, one of the tensest games I ve played where the tension and stress felt dynamic and unique to my experience rather than a construction by the devs,keith,a
Braveland Wizard, This is going to be much like my review for the original Braveland. This game is a fun turn-based hexagonal board game in the mold of Heroes of Might and Magic with a map progression in the Mario level selection screen realm. There s no real story and the game is pretty straight forward and linear. Only three times do you get to choose something different the first two you either chose left or right at a fork in the road that leads you to the same path and the third is how you want the end of the story to read. There s also a quiz after the second to last battle with 3 questions that will reward you with a prize if you answer all 3 correctly. There are no second chances if you fail. So pay attention during the game. There are 3 difficulty settings. You get to level up your hero (that never fights) but that increases the potential size of the armies you control. You can acquire 4 types of gear that benefits your armies. You have to spend money to recruit most of your army. Money is obtained mostly by defeating the enemy and minimizing your losses during combat. THERE IS MUCH LESS MONEY PER COMBAT THAN THE LAST GAME. So there s more of a grind. There are 3 separate respawning points that you can grind out on to get more gold. There s about 35-40 different enemies (some from the original) that you can run into and they each have their strengths and weaknesses that blend together with other enemies. Almost every unit you have gets a special ability at some point. This game also introduces talent/spell trees to give a little more flavor of what strategy you want to take. It s a lot more interesting than the last game but the game still only takes about 3-5 hours. It s worth it if you get it on sale but I wouldn t pay the full asking price for a game that you can beat after you get home from work and before you go to bed. , March 14 2017, This is going to be much like my review for the original Braveland,hardin,a
What Remains Of Edith Finch, Score ??? 8/10 (Recommended) Despite only taking two hours to complete your morbid curiosity will compel you to learn how each member of the cursed Finch family met their untimely demise. Giant Sparrow went to great efforts in making this walking simulator stand out from the competition thanks to creative ways of telling the story as well as a beautiful house to explore. , October 28 2018, Score ??? 8/10 (Recommended) Despite only taking two hours to complete your morbid curiosity will compel you to learn how each member of the cursed Finch family met their untimely demise,lawrence1859,a
Mary Skelter: Nightmares, Average gameplay somewhat bad graphics and a story that doesn t properly use the material it s based on. Still a good enough game to make me play it to the end. Graphics: The 3D dungeons have varied clearly defined themes and the enemies try be quite grotesque but the graphics fail to properly express this. 2D art is good though. Sound: Pretty average nothing really stood out either way. Story: Main story was surprisingly harmless (was expecting a more dark ending) but it used very little of the material the characters are based on (Hansel and Gretel Little Red Riding Hood Snow White etc.) which at least for me was a bit of a disappointment. I still recommend the game to those that don t hate anime turn based games somewhat shallow but it probably delivered enough to be worth it s price. , August 18 2018, Average gameplay somewhat bad graphics and a story that doesn t properly use the material it s based on,vincent,a
X Rebirth, If the recent updates have made this game better as other reviews say then the original release must have been really terrible. The highway system is weird and glitchy. The controls are cumbersome and seem designed only for controllers. The first time I went to dock with another ship 15 minutes into the campaign the auto-dock got the Skunk stuck bouncing up and down inside the cargo bay and I had to exit the game. If you liked previous X games this one will be a disappointment. Walking around in stations is not at all fun it s repetitive and immediately tedious. Being limited to one ship makes the world feel a lot smaller too. While the X games have always had charmingly bad writing it was okay because there was more to do in the game. Here they ve added more dialogue and story than usual but it falls flat because the simplistic plot and cardboard characters just stand out a lot more. The initial companion character in particular is a cringeworthy bundle of tired tropes. I went back and played X3:AP to make sure I wasn t misremembering things but that is definitely a much more enjoyable game than this one warts and all. , August 19 2018, If the recent updates have made this game better as other reviews say then the original release must have been really terrible,romero7157,a
Lock S Quest, Simply read Jim Sterling s review. http://www.thejimquisition.com/locks-quest-review/ , June 7 2017, Simply read Jim Sterling s review,guy7383,a
Sacrifice, Znakomita - i przy okazji bardzo niedoceniona - hybryda RTS-a i RPG. Chilernie oryginalna pomys??owa i niebanalana stylistycznie. Posiadam wersj?? z p??ytki z PLAY-a. R??wnie?? zastanawiam si?? czemu na GOG-u nie ma oryginalnego spolszczenia kt??re jest naprawd?? ??wietne. , October 9 2018, Znakomita - i przy okazji bardzo niedoceniona - hybryda RTS-a i RPG,sanford3196,a
Expeditions: Conquistador, The camera is so bad the game is literally unplayable. I can t navigate around to do anything because it hates to scroll around. , July 16 2018, The camera is so bad the game is literally unplayable,bowen1302,a
Secret Agent, Whenever I need a break from huge sprawling games that are the norm nowadays with triple-A studios I find myself going back to a couple of DOS games time and again including this and Crystal Caves which follows a similar gameplay style. There s no deep mechanic here it s simply clearing out levels through 2D platforming challenges. There isn t even a boss here but the game is still satisfying to play even today. The good: - platforming and controls are solid - levels seem simple yet present a good challenge - no real replayability value but still fun to go through again and again The bad: - 2D sprites are on the rougher end of the scale (not the developer s fault mind this is fairly good art when it came out originally) I m fine with the art but may not be to othersliking - no background music and simple SFX (again more of a function of the time it was made originally) The ugly: - nah there s nothing overly bad about this game Verdict: At $5.99 really you can t go wrong with this if 2D platforming is your cup of tea. This is an underrated classic. , August 13 2018, Whenever I need a break from huge sprawling games that are the norm nowadays with triple-A studios I find myself going back to a couple of DOS games time and again including this and Crystal Caves which follows a similar gameplay style,alvarez1260,a
De Blob 2, Eigentlich w??re deBlob 2 ein gutes Spiel. Das Sound ist klasse die Grafik sieht nett aus aber: Man hat leider enge Zeitlimits im Spiel. Wenn man das nicht einh??lt verliert man viel Fortschritt. Zeitlimits waren _noch nie_ gut! Zeitlimits zerst??ren das komplette Spiel. Ich m??chte das Spiel erforschen Dinge einsammeln und mir die Grafik ansehen. Eine zeitliche Begrenzung ist etwas f??r eine Klassenarbeit und keinem macht eine Klassenarbeit Spass. Eigentlich w??re es wirklich ein nettes Spiel geworden aber mehr als 2 Punkte kann ich leider nicht vergeben da ich weder etwas vom Sound oder der Grafik habe da ich durch die Levels hasten muss ohne auf das sch??ne Beiwerk zu achten. , September 27 2017, Eigentlich w??re deBlob 2 ein gutes Spiel,raymond6852,a
Candle, I bought this game because I liked artistic styles genre puzzles and story. All of them seem to be very interesting??? and they are. Nevertheless when I tried to play it I found a lot of issues which might to be fixed in a future but completely stopped me to play this game in early stages. I ll list issues I encountered and possible ways to fix them. I hope developers will roll out the update with fixes as they are crucial for many players as I ve saw walkthroughs and reviews afterwards. Steam version has the same issues and some of them fixed by steam midlayer (a controller issue). * Controller buttons are not processed correctly (long B). I have to use keyboard with a pretty wierd mapping layout and inability to remap keys It could be fixed by more testing and giving a user ability to remap layout without Steam API. * I can t run from the standing state. Other games allow this and in this game I have to remember it constantly which is not a good idea. Probably this is a correct way to handle it but there s too many short platforms and you ll die or repeat jumping to the same platform just because of this issue. It s frustrating. * Edge borders of surfaces are too exact to handle jumping easily. It s not a bad idea to be exact with edges and you ll see it on many platformers as well. The difference is on other platformers /visual/ edges are the same as real edges. When you jump to the edge you know if you land the surface or not. In this game you never sure about this. Every single edge is different and you have to memorize them. This also leads to misjumps and unobvious positions. it s very frustrating. * Unobvious ressurection positions on death. I didn t know where checkpoints are I have to save often to be sure where and on which state I ll be resurrected. it s mega-frustrating. I hope developers will refine this game and players will enjoy their playthrough. Developer responses are welcome , August 5 2018, I bought this game because I liked artistic styles genre puzzles and story,pickett,a
Men Of War: Vietnam, Buenocreo que ademas de mi primera review es la primera en espanol de entre tantos juegos y analisis vistosen fin al loro. Cuando se anuncio por primera vez hubo mucha expectacion por la tematica de Vietnam que se empezo a diluir nada mas enterarse que no podrias controlar los clasicos Huey por desgracia el juego carece de todo lo que hace grance a Men of War aqui van algunas cositas. Falta de armasvehiculos y otras clasicas cosas del conflicto vietnamita que daria para hacer una enciclopedia si mencionara todo lo que podrian haber incluido y para colmo reciclando material de anteriores juegos de Men of Waren serio camiones y jeeps de la segunda guerra mundial ni siquiera se tomaron la molestia de googlear el tipo de vehiculos de la logistica y suministros de la epoca para saber que en vietnam ni de cona existian viejos camiones zil o zis de la segunda guerra mundial. Despues de jugar anteriores titulos y ver la biblia en forma de material historico de la segunda guerra mundial que venia en cada titulo esto es poco mas que un insulto. Pero espera lo mejor esta por llegarsolo hay un total de 10 misiones unicas distribuidas entre los dos bandos y reciclado de escenarios que llaman cinicamente misiones bonus las campanas salvo un grupo selecto de misiones son pesimas en su mayoria y desaprovechando los personajes. No hay batallas masivas o operaciones basadas en hechos reales no hay ataques con napal o bombardeos masivos no hay variedad de unidadesarmas artilleria vehiculos etc. Ni merece ser llamado expancion o mod de Men of War viendo lo que hace la comunidad o la expancion Red Tide esto es poco mas que un insulto. Tiraron la tematica de Vietnam y otros conflictos aparte de la WW2 por la borda para regresar con el bodrio de Assault Squad intentando imitar la formula de juegos como Company of Heroes pero esto sera para otro dia. Conseguidlo por rebajas si coleccionais titulos de estrategia sino manteneos lejos como si fuera la peste. , November 27 2017, Buenocreo que ademas de mi primera review es la primera en espanol de entre tantos juegos y analisis vistosen fin al loro,bell9959,a
Bloodnet, I want to like this game but the user interface is a pain to figure out. You *need* the manual and even then it s painful. Moving the mouse is annoying. Figuring out what keys to press is annoying. The spoken dialogue is low-res and has no subtitles. For my part I gave up after an hour or so. If I had more patience in figuring all of this out I might enjoy this game but right now I m just too old for this and I have better things to do than spend hours figuring out how to play a game. , November 2 2018, I want to like this game but the user interface is a pain to figure out,holman,a
Caravan, I have spend almost 10 hours with this game. I finished it and really enjoined it. It is very simple RPG game with funny story and some trading concepts in it. If you have an occasion to get it for 1$ or 2$ just buy it and you will not regret. , November 26 2017, I have spend almost 10 hours with this game,blackburn4523,a
Hotline Miami, I remember playing through this game a couple of years ago and back then I found it frustrating at times. Now I was able to blast through it in one sitting. The length of the game depends on one s skill. The soundtrack is pretty much perfect. It seems that my biggest problems with this game weren t as severe as I remember them being back in the day and I m going to list them here: - RNG (biggest problem of this game even speedrunners need luck at certain points in the game as certain starting configurations are near impossible and it s impossible to pull off certain stats consistently) - inconsistent behavior of enemies (at times it s possible to shoot weapons next to them and have them not notice it) - cutscenes that can t be skipped (especially ones before boss fights) - no way to restart the current floor without dying - stealth level (a really big mistake that s not fun at all just like hotline miami 2) - certain levels are so big they require guessing what s happening on the opposite site of the map - masks aren t unlocked by default (I didn t like having to unlock Tony again) Inconsistency and RNG are possibly the most frustrating aspect of this game as they shift difficulty of the game towards luck which should not be involved here at all. The GNU/Linux port seems to work well although only a 32-bit binary is available so mutilib is required and it depends on obscure libraries such as nvidia-cg-toolkit which required searching for by names as it s not possible to simply guess their package names. , October 20 2018, I remember playing through this game a couple of years ago and back then I found it frustrating at times,mays,a
Tower 57, ???????????? ?????????????????????? ???????????? ??????????????????????????. ???????????????? ?????????????? ?????????????? ?????????????????? ???????????????? ???????????????? ?????? ?????????????? ??????????. ???????????? ?????????? ???????????????????? ???????????????? ?? ???????????????????? ?????????????????????? ?????????????? ?????????? ?????????????? ???????? ?????????????????????? ???????????????????? ... ?? ?????????? ?????? ???????? ?????????????????? ?????????????????????????????????? ???? ???????????? ???????????? ???????????????? ?? ?????????????????????? ???????????????????????? ?????????????? ?????????????????? - ?????????? ????. ???? ?????????????? ???????????? ???????????? ???????????????????? ?? ?????????????????? ?????????????????? ???????????????????? ?????? ???????? ???? ????????????????. , September 8 2018, ???????????? ?????????????????????? ???????????? ??????????????????????????,gates1352,a
The Cat Lady, One of the best horror point and click of all times! , October 29 2018, One of the best horror point and click of all times! ,shaw,a
Project Highrise," ...Hindered by lacking features. It s an ok management sim a reasonable adaptation of the flash game you ve probably played for free online somewhere. It s got some DLC to give you a few more themed items which is ok. The big thing it s missing is mod support. Their own tutorial shows you how to access the local mods folder and to edit and create said mods but since you re not on steam you re out of luck. There is no mod button at all in the menu. They even released a new DLC without adding mod support to the GOG version so they haven t abandoned it as I had previously thought. They re just refusing to enable the ""Mods"" button. ", August 4 2018, ,carrillo,a
Where Is My Heart?," I d guess in Linux I d just write a joystick-to-keyboard driver in order to overcome the ""Gamepad support"" issues. ", June 19 2018," I d guess in Linux I d just write a joystick-to-keyboard driver in order to overcome the ""Gamepad support"" issues",daniels283,a
Icewind Dale: Enhanced Edition, I played IWD several times I still have the original with CDs manual and box. It runs on Windows 7 not very well but it runs. There are mods which help to use the old game but the Enhanced Version makes this unnecessary. The game in itself is quite linear with a gripping but fairly simple story both expansions (Heart of Winter and the free expansion Trials of the Luremaster) are included and integrated well. You can play every of the three items alone or all three in one pass with the same party. Less interesting for me is the multiplayer mode so I cannot say anything about that. But you need the multiplayer mode if you want to change your party in mid game. (Instructions how to do this are on the Beamdog forums). There is a new quest (which was cut from the original game) and this quest is really nice and works flawlessly as the entire game does. Also there are small things like a shield which can be significantly upgrade by talking to a NPC which really surprised me. XP values are higher in certain places which leads to a very high level party. Spells (which always were missing in the original game) were added but no High Level Abilities. In the original game toward the end of the game you could have a mage - without 9th level spells. This is now much better in the Enhanced Version. I recommend a party with multiclass characters (dual class could be done but is very hard). Multiclass characters reach high levels too are more versatile and more fun because after level 25 characters do not really improve any more in AD&amp;D. My party is in the Trials after doing most of the main game and a good part of Heart of Winter and they are around level 25 (Mage Fighter) and over 30 for the Cleric. Recommended buy - good value for the money! , September 17 2018, I played IWD several times I still have the original with CDs manual and box,barton,a
Saints Row 2, Mouse axis just sits and spins. Literally. Glad I was looking at the free release. I d have been pretty peeved if I d put any money in. Install lasted ten minutes then off the drive. Doesn t deserve the one star. , November 2 2018, Mouse axis just sits and spins,blackburn,a
Enigmatis 3: The Shadow Of Karkhala, It crashed deleting save game and account. This is unacceptable. , November 5 2018, It crashed deleting save game and account,travis2109,a
Crystal Caves, This game is a perfect mixture of Pacman and Super Mario: objects that must be collected; enemies defeatable only with power up; diamonds hidden in some bricks. The background of some levels is an explicit easter egg of Super Mario. The world three overworld has an inescapable area in the top left whose 3-4 levels MUST be completed LAST; furthermore it has some levels with chests but without key to unlock them. Each overworld has an higher difficulty so I recommend to play them in order. , March 31 2018, This game is a perfect mixture of Pacman and Super Mario: objects that must be collected; enemies defeatable only with power up; diamonds hidden in some bricks,mullins9154,a
Deathtrap Dungeon, Although I m glad to have this game in my collection for personal / nostalgic reasons trying to relive the experience is painstaking and serves as nothing more than a bad relic of the past. The auto-rotating camera views tank controls and poor aesthetic (doors pretty much look like walls etc) makes for a pretty terrible experience all around. The gravity-defying jumping mechanic also seems a bit misplaced as it s far too easy to overshoot or undershoot a leap of faith which usually results in another death. Still for nostalgic reasons I love to pull this out and wonder what the devs at the time were even thinking with some of the aforementioned design flaws considered. It almost seems as if they were purposely trying to make an impossibly terrible game and no amount of control scheme shifting can rectify it. , March 5 2018, Although I m glad to have this game in my collection for personal / nostalgic reasons trying to relive the experience is painstaking and serves as nothing more than a bad relic of the past,powers2531,a
Knights Of The Sky, I bought Knights of the Sky on release and at the time it was one of my favourites. I remember one morning I decided to play a few missions before school and was so engrossed that I lost track of time and missed attendance. Among the WWI simulators of the time it doesn t have the same level of charm as Wings or the sophisticated flight model of Red Baron but sits comfortably between the two. You re a career pilot for the Allies (no German campaign) and over the course of the war you ll receive several events between missions. New planes will become available or retired on both sides. Maybe an enemy Ace will challenge you to a duel on your next mission providing a secondary objective. Rival squad mates will join your squad achieve promotions or be tragically killed in action. Each campaign plays a little differently. Your squadron may be transferred to a different aerodrome along the front or once you achieve the rank of Captain you may move it yourself. Your areodrome is your spawn point which decides your field of operations. Missions range from patrols bombing enemy bases to eliminating balloons. Beyond that you are free to explore the 3D map so far as your fuel tank will let you. This game taught me to manage my throttle to conserve fuel so that I could visit far off Brussels and return to a friendly airstrip. It also taught me to conserve my ammo and the importance of dive bombing. It was simple to learn but challenged me to become a better gamer. A few years ago I loaded up my original disks and ran it in DosBox. Does the game hold up? Frankly there are simply more modern flight simulators available with improved physics and graphics. Taking off the nostalgia goggles I found the terrain bland and the polygons blocky. It s functional though and as a piece of history KotS is a worthy title that featured one of the first instances of dial-up multiplayer in a flight sim. , July 21 2016, I bought Knights of the Sky on release and at the time it was one of my favourites,levy2109,a
Full Spectrum Warrior," Before I review the title there is a thing I need to mention: on Windows 7 Ultimate (64 bit version) and Intel HD 4000 this game has a mildly annoying audio stuttercrackling issue. No amount of tinkering with compatibility settings seems to solve it. I do say it is MILDLY annoying: it is usually only present during dialogues and not so much during the rest of the game. That said the biggest issues are 1. its length: I haven t counted how many hours it takes to finish it but a rough estimate puts the number at about 8-9 hours; 2. the annoying ""sit rep"" thing: the game has no ""saves"" it has sit reps which are locations marked by military insignia of some sort you have to move your squad to. The annoying thing here is you usually command two teams sometimes three and you need to move all of them to that location; and sometimes both teams can be far from each other and there is no button to call all of your teams to a given sit rep location; also consider that each of your squads has to be moved multiple times before it reaches it. Seriously what was the point? A quick save or checkpoint-based system would have been much smoother and less annoying. 2b: each sit rep ends with ""Sit rep saved... Out.""; the original quote is much longer and ""drawn out"". You hear it every time you load a game and there is no way to skip it. What an oversight. 3. You sometimes cannot ""lock onto"" a cover quickly enough with your mouse; it s hard to explain. I don t remember it being such a pain on the Xbox; 4. No controller support. Lame and reeks of being a rushed PC ""port""; 5: you cannot issue an order while another order is already being carried out; you can cancel your current order and issue another one but it would have sped many operations up. 6. literally the worst of them all: when switching from a team to another it takes time for the camera to ""reach"" the selected team: it is not istantaneous. 6b: sometimes very bad camera. Otherwise a solid 78100 game. ", December 18 2017, Before I review the title there is a thing I need to mention: on Windows 7 Ultimate (64 bit version) and Intel HD 4000 this game has a mildly annoying audio stuttercrackling issue,randolph712,a
Oh...Sir!! The Insult Simulator," Couple of sentences not quite ""offensive"" couple of ""enemies"" and couple of ""stages"". That is all. I got it during a discount extremely cheap. The only actual insult I feel is the fact that this is labeled a ""game"" when in fact it can be a free flash/html web-page prank for a popcorn/soda promotion campaign. On short I have ""played"" flash games more complex than this. ", September 30 2018," Couple of sentences not quite ""offensive"" couple of ""enemies"" and couple of ""stages""",robertson,a
Dropsy, Good visuals (i.e. this game has unique distinctive art style) but they can only help shifting the initial sell and I couldn t find anything for me to stay with the game  till completion because you ll end up revolving around a few dozens of screens multiple times to find a missing piece of a puzzle (and you re not sure which puzzle exactly you re trying to solve at any selected moment). If you re more into puzzle solving than item hunting and vaguely aimless walking I d suggest avoiding this purchase (to be fair they do feature the open worldness of the game right at the top of the description so you ve been warned) , October 26 2018, Good visuals (i,malone3970,a
Reus, This is a kind of flash puzzle game. You manage your planet by building the appropriate buildings/farms/biomes. You will have to find the perfect spots to build these also which kind of cancels the God/do what you want (because you are the god s) it s more like babysitting the humans perfectly or they will kill you. , August 7 2018, This is a kind of flash puzzle game,strong4847,a
Urban Chaos, ?????????????????????? ????????! ???? ?????????? ???????? - ?????? ???????????? ?????? ???????????????? ?????? ???? ?????????? ??????! ???????????????? ?????????????? ?????????????????????? ?????? ?????????????????? ???????????????????? ???????????????? ?? ?????????????????????????? ???????????? ?????????????????? ?????????? ???????????????????? ???? ?????????? ?????????????? - ?????? ?????????????????? ?? ??????????! ???????????? ?????????????????????? ???????? ???????????????? ?????????? ?????????????????? ?? ??????????????! ?????????? ?? ???????????? ?????? ???????????? ?????? ???????? ???? ???? ?????? ???????????????? ???????? ?????? ?????????????? ??????????????????????. ?? ???????? ???????????? ?????????? ???????????????????? ???? ???????????? ???????? ?? ??????????????????. ?? ?????????? ?? ?????????????????????? ?? ?????????????? ???????????? ?? ???????????????????? ???????????? ?? ???????????? ?????????????? ???????????? ?????????? ?? ?????????? ?????? ????????. ???????? ???????? ??????????????????. ?? ???????????? ???????? ???????????? ???????????????? ?? ???????? ???????????? - https://vk.com/urban_chaos ???????????? ??????????! ?????? ???????????? ???????????? ???? ????????????! , October 11 2017, ?????????????????????? ????????! ???? ?????????? ???????? - ?????? ???????????? ?????? ???????????????? ?????? ???? ?????????? ??????! ???????????????? ?????????????? ?????????????????????? ?????? ?????????????????? ???????????????????? ???????????????? ?? ?????????????????????????? ???????????? ?????????????????? ?????????? ???????????????????? ???? ?????????? ?????????????? - ?????? ?????????????????? ?? ??????????! ???????????? ?????????????????????? ???????? ???????????????? ?????????? ?????????????????? ?? ??????????????! ?????????? ?? ???????????? ?????? ???????????? ?????? ???????? ???? ???? ?????? ???????????????? ???????? ?????? ?????????????? ??????????????????????,hurst5964,a
Among The Sleep - Enhanced Edition, Played for a few hours and the controls are a bit sluggish. Had to turn down graphics settings for performance and then started seeing polygon artifacts in front of me as if I was wearing a hat or something obstructing my view. Great concept could of been better execution. , June 30 2018, Played for a few hours and the controls are a bit sluggish,scott7771,a
Morphopolis, Very immersive relaxing and satisfying game. Different from other HOGs I ve played. Quite short but worth the price. I loved the very slow pace and the slightly frustrating gameplay. The occasional struggle to move is humbling and calls for respect and consideration of the environment. Audio is wonderful (headphones recommended). Gameplay wise I had to perservere during the first few minutes and then it became second nature. Worst case scenario there is a hint button. It s a 1 player game but I enjoyed playing with someone by my side which was hepful for some of the puzzles which I found difficult (don t remember an option to skip). I d buy a sequel if it were to be made. , September 13 2018, Very immersive relaxing and satisfying game,mendez4731,a
